Attack Type,Feature,Normal Mean,Normal Std,Attack Mean,Attack Std,Mean Difference,P-value,Significant (p<0.01)
Poisoning,msgs_since_last_event,273.10348258706466,200.49342725073922,499.5,288.74718607933545,226.39651741293534,8.085140000295502e-163,True
Poisoning,event_msg_rank,273.10348258706466,200.49342725073922,499.5,288.74718607933545,226.39651741293534,8.085140000295502e-163,True
Poisoning,Epoch Time,1702927395.307449,217.63683114721925,1702927174.8081806,22.472202500866732,220.49926853179932,1.0495255092190183e-270,True
Poisoning,base_time,1702927395.307449,217.63683114721925,1702927174.8081806,22.472202500866732,220.49926853179932,1.0495255092190183e-270,True
Poisoning,Time since reference or first frame,377.1265169509121,217.63683114997485,156.62724854,22.472202500373434,220.4992684109121,1.0495255092190183e-270,True
Poisoning,sqNum,407.30845771144277,264.09588299110135,499.5,288.74718607933545,92.19154228855723,1.6980945014278113e-28,True
Poisoning,Length,150.73366500829187,12.818796503423037,167.872,0.3341733620711846,17.13833499170815,0.0,True
Poisoning,Frame length on the wire,150.73366500829187,12.818796503423037,167.872,0.3341733620711846,17.13833499170815,0.0,True
Poisoning,Frame length stored into the capture file,150.73366500829187,12.818796503423037,167.872,0.3341733620711846,17.13833499170815,0.0,True
Poisoning,stNum,27.25804311774461,42.88603608471937,41.0,0.0,13.74195688225539,7.310598101913854e-218,True
Poisoning,ttl_margin,1.5006006608654312,0.5021175334466272,3.9987580839395522,0.04120096522919335,2.498157423074121,0.0,True
Poisoning,heartbeat_interval_error,0.0009114561622901072,0.03420011963050939,1.9987580839395522,0.04120096522919335,1.9978466277772622,0.0,True
Poisoning,inter_arrival,1.4990670028102084,0.5003837854544056,0.0012419160604476929,0.04120096522919335,1.4978250867497607,0.0,True
Poisoning,heartbeat_within_tol,0.997346600331675,0.051451308640312825,0.0,0.0,0.997346600331675,0.0,True
Poisoning,event_id,1.3970149253731343,1.899583750577299,2.0,1.0002500937890797,0.6029850746268657,8.631801933433335e-80,True
Poisoning,sqNum_delta,0.39913592555666333,23.304098278919795,0.904,3.0549059273752706,0.5048640744433367,0.6815053302432614,False
Poisoning,ttl_half,1.5001658374792703,0.5000829118652578,2.0,0.0,0.49983416252072965,0.0,True
Poisoning,Time delta from previous displayed frame,0.24973430514096182,0.2851595105874829,0.00015043799999999997,0.004132181655708505,0.2495838671409618,0.0,True
Poisoning,stNum_delta,0.040545031571950815,1.5723945760660172,-0.061,1.9285068237589005,0.10154503157195081,0.041206368247257284,False
Poisoning,jitter_rolling_std,0.005251874047098343,0.06621855464750184,0.0077310190687122065,0.08087682807939893,0.002479145021613864,0.0,True
Poisoning,sq_inc_violation_when_no_event,0.001990049751243781,0.0445729560151353,0.0,0.0,0.001990049751243781,0.045950491341659516,False
Poisoning,sq_inc_expected,0.997346600331675,0.051451308640312825,0.999,0.031614865963260665,0.0016533996683250063,0.19881302936356327,False
Poisoning,sq_reset_on_st_change,0.0,0.0,0.001,0.031614865963260665,0.001,0.08251774361343117,False
Poisoning,sq_reset_expected,0.0,0.0,0.001,0.031614865963260665,0.001,0.08251774361343117,False
Poisoning,sq_reset_without_st_change,0.0,0.0,0.001,0.031614865963260665,0.001,0.08251774361343117,False
Poisoning,sq_reset_violation,0.0006633499170812604,0.025751307297432895,0.0,0.0,0.0006633499170812604,0.24946432580484734,False
Poisoning,stNum_jump_gt1,0.0006633499170812604,0.025751307297432895,0.0,0.0,0.0006633499170812604,0.24946432580484734,False
Poisoning,event_rate_spike,0.0014128147654004811,0.06435744092093533,0.0009630486659957934,0.03260603388969348,0.0004497660994046877,0.6812062882140493,False
Poisoning,sqNum_jump,0.0006633499170812604,0.025751307297432895,0.001,0.031614865963260665,0.00033665008291873966,0.6794161416066913,False
Poisoning,stNum_change,0.0006633499170812604,0.025751307297432895,0.001,0.031614865963260665,0.00033665008291873966,0.6794161416066913,False
Poisoning,st_change,0.0006633499170812604,0.025751307297432895,0.001,0.031614865963260665,0.00033665008291873966,0.6794161416066913,False
Poisoning,status_change_violation_on_heartbeat,0.9993353273512795,0.02577696026337732,0.999,0.031614865963260665,0.00033532735127950186,0.6809072662080177,False
Poisoning,length_delta,0.0006646726487205051,0.044656902204052246,0.001,0.03161486596326067,0.0003353273512794949,0.771571765223848,False
Poisoning,t_change,0.0006646726487205051,0.02577696026337732,0.001,0.031614865963260665,0.0003353273512794949,0.6809072662080177,False
Poisoning,Time delta from previous captured frame,8.893167495854062e-05,8.754092781558819e-05,2.2103999999999997e-05,4.140785540503906e-05,6.682767495854063e-05,3.750319540934764e-183,True
Poisoning,Time shift for this packet,0.0,0.0,0.0,0.0,0.0,1.0,False
Poisoning,bitstring_numeric,80.0,0.0,80.0,0.0,0.0,1.0,False
Poisoning,ttl_violation,0.0,0.0,0.0,0.0,0.0,1.0,False
Poisoning,status_bit_change,1.0,0.0,1.0,0.0,0.0,1.0,False
Poisoning,t_st_consistency_violation,0.0,0.0,0.0,0.0,0.0,1.0,False
Poisoning,status_change_missing_on_event,0.0,0.0,0.0,0.0,0.0,1.0,False
Replay,byte_rate,4087.716038282147,13465.016728016793,582.5620837479483,1373.2123287867275,3505.153954534199,1.3961952847347705e-05,True
Replay,timeAllowedtoLive,2197.3306653326663,1472.4044376161921,10.0,2.010075630518424,2187.3306653326663,6.758730439546376e-65,True
Replay,sqNum_delta,0.5441986184803284,11.468915243004265,-54.17,34.64219853288644,54.71419861848033,0.0,True
Replay,sqNum,41.632516258129066,52.129360300552484,0.0,0.0,41.632516258129066,1.3052770109506374e-61,True
Replay,stNum,111.67053526763382,51.79063012635551,73.56,58.92270574681082,38.11053526763382,6.851991404582481e-08,True
Replay,time_since_last_event,32.09299991527995,42.56468733805745,0.0,0.0,32.09299991527995,2.8068156151504136e-60,True
Replay,event_id,264.35147573786895,158.3155333864626,294.56,233.27091459493954,30.20852426213105,0.47079780326314735,False
Replay,msgs_since_last_event,28.959179589794896,35.781544487106665,0.0,0.0,28.959179589794896,2.5158379165203805e-60,True
Replay,event_msg_rank,28.959179589794896,35.781544487106665,0.0,0.0,28.959179589794896,2.5158379165203805e-60,True
Replay,msg_rate,25.64118260486185,86.45464730539572,3.9673097033880698,9.279114897944117,21.67387290147378,1.2800788012464996e-06,True
Replay,Time since reference or first frame,894.7432887872937,511.28932509821294,904.01072111,507.05272503609444,9.267432322706213,0.8792487074538168,False
Replay,Epoch Time,1702899393.742498,511.2893250979299,1702899403.0099301,507.0527250299475,9.26743221282959,0.8792487074538168,False
Replay,base_time,1702899393.742498,511.2893250979299,1702899403.0099301,507.0527250299475,9.26743221282959,0.8792487074538168,False
Replay,Length,154.24812406203102,14.31044158912302,145.35,2.3841861157098103,8.89812406203103,1.3889499238231737e-05,True
Replay,Frame length on the wire,154.24812406203102,14.31044158912302,145.35,2.3841861157098103,8.89812406203103,1.3889499238231737e-05,True
Replay,Frame length stored into the capture file,154.24812406203102,14.31044158912302,145.35,2.3841861157098103,8.89812406203103,1.3889499238231737e-05,True
Replay,event_rate_spike,1.131956443813796,18.54027289294032,3.9673097033880698,9.279114897944117,2.8353532595742736,0.0,True
Replay,ttl_margin,1.1331329659396958,0.8943818346647281,-0.7244206070899964,0.4689746694098126,1.8575535730296924,3.129907373124817e-60,True
Replay,ttl_half,1.0986653326663331,0.736202218808096,0.005000000000000001,0.001005037815259212,1.0936653326663333,6.758730439546376e-65,True
Replay,length_delta,0.011012113324657123,0.30690698432890806,-1.05,0.21904291355759037,1.061012113324657,2.550991620038969e-226,True
Replay,stNum_delta,0.04925417959755731,0.2164090890799272,-1.0,0.0,1.0492541795975574,0.0,True
Replay,ttl_violation,0.03601800900450225,0.1863442679224409,1.0,0.0,0.9639819909954978,0.0,True
Replay,sq_reset_on_st_change,0.03921960980490245,0.19412676893488462,1.0,0.0,0.9607803901950975,0.0,True
Replay,sq_reset_expected,0.03921960980490245,0.19412676893488462,1.0,0.0,0.9607803901950975,0.0,True
Replay,sqNum_jump,0.049224612306153076,0.21634748164521309,1.0,0.0,0.950775387693847,0.0,True
Replay,stNum_change,0.049224612306153076,0.21634748164521309,1.0,0.0,0.950775387693847,0.0,True
Replay,st_change,0.049224612306153076,0.21634748164521309,1.0,0.0,0.950775387693847,0.0,True
Replay,t_change,0.04925417959755731,0.2164090890799272,1.0,0.0,0.9507458204024427,0.0,True
